

  **** Partial wave analysis (DPWA0) ******************************************


  Kinetic energy = 1.00000E+07 eV

      L       Phase(spin UP)     Phase(spin DOWN)
  9.000E-04 1.18296E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 8.127E-13, 3.466E-15)  1.00E-07
  9.250E-04 1.18287E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 8.352E-13, 3.562E-15)  1.00E-07
  9.500E-04 1.18277E-14  0.000E+00 ( 1.088E-07, 4.638E-10) ( 8.578E-13, 3.658E-15)  1.00E-07
  9.750E-04 1.18266E-14  0.000E+00 ( 1.087E-07, 4.638E-10) ( 8.803E-13, 3.754E-15)  1.00E-07
  1.000E-03 1.18256E-14  0.000E+00 ( 1.087E-07, 4.638E-10) ( 9.028E-13, 3.850E-15)  1.00E-07
  1.250E-03 1.18136E-14  0.000E+00 ( 1.087E-07, 4.637E-10) ( 1.128E-12, 4.813E-15)  1.00E-07
  1.500E-03 1.17989E-14  0.000E+00 ( 1.086E-07, 4.637E-10) ( 1.353E-12, 5.774E-15)  1.00E-07
  1.750E-03 1.17816E-14  0.000E+00 ( 1.085E-07, 4.636E-10) ( 1.577E-12, 6.736E-15)  1.00E-07
  2.000E-03 1.17616E-14  0.000E+00 ( 1.085E-07, 4.635E-10) ( 1.801E-12, 7.697E-15)  1.00E-07
  2.250E-03 1.17391E-14  0.000E+00 ( 1.083E-07, 4.634E-10) ( 2.024E-12, 8.657E-15)  1.00E-07
  2.500E-03 1.17140E-14  0.000E+00 ( 1.082E-07, 4.633E-10) ( 2.246E-12, 9.617E-15)  1.00E-07
  2.750E-03 1.16863E-14  0.000E+00 ( 1.081E-07, 4.632E-10) ( 2.468E-12, 1.058E-14)  1.00E-07
  3.000E-03 1.16561E-14  0.000E+00 ( 1.080E-07, 4.631E-10) ( 2.689E-12, 1.153E-14)  1.00E-07
  3.250E-03 1.16234E-14  0.000E+00 ( 1.078E-07, 4.630E-10) ( 2.909E-12, 1.249E-14)  1.00E-07
  3.500E-03 1.15882E-14  0.000E+00 ( 1.076E-07, 4.628E-10) ( 3.128E-12, 1.345E-14)  1.00E-07
  3.750E-03 1.15506E-14  0.000E+00 ( 1.075E-07, 4.627E-10) ( 3.346E-12, 1.441E-14)  1.00E-07
  4.000E-03 1.15106E-14  0.000E+00 ( 1.073E-07, 4.625E-10) ( 3.563E-12, 1.536E-14)  1.00E-07
  4.250E-03 1.14682E-14  0.000E+00 ( 1.071E-07, 4.624E-10) ( 3.779E-12, 1.631E-14)  1.00E-07
  4.500E-03 1.14234E-14  0.000E+00 ( 1.069E-07, 4.622E-10) ( 3.993E-12, 1.727E-14)  1.00E-07
  4.750E-03 1.13764E-14  0.000E+00 ( 1.067E-07, 4.620E-10) ( 4.206E-12, 1.822E-14)  1.00E-07
  5.000E-03 1.13271E-14  0.000E+00 ( 1.064E-07, 4.618E-10) ( 4.418E-12, 1.917E-14)  1.00E-07
  5.250E-03 1.12756E-14  0.000E+00 ( 1.062E-07, 4.616E-10) ( 4.628E-12, 2.012E-14)  1.00E-07
  5.500E-03 1.12220E-14  0.000E+00 ( 1.059E-07, 4.613E-10) ( 4.837E-12, 2.107E-14)  1.00E-07
  5.750E-03 1.11662E-14  0.000E+00 ( 1.057E-07, 4.611E-10) ( 5.044E-12, 2.201E-14)  1.00E-07
  6.000E-03 1.11084E-14  0.000E+00 ( 1.054E-07, 4.609E-10) ( 5.250E-12, 2.296E-14)  1.00E-07
  6.250E-03 1.10485E-14  0.000E+00 ( 1.051E-07, 4.606E-10) ( 5.454E-12, 2.390E-14)  1.00E-07
  6.500E-03 1.09867E-14  0.000E+00 ( 1.048E-07, 4.603E-10) ( 5.656E-12, 2.484E-14)  1.00E-07
  6.750E-03 1.09230E-14  0.000E+00 ( 1.045E-07, 4.601E-10) ( 5.857E-12, 2.578E-14)  1.00E-07
  7.000E-03 1.08574E-14  0.000E+00 ( 1.042E-07, 4.598E-10) ( 6.056E-12, 2.672E-14)  1.00E-07
  7.250E-03 1.07900E-14  0.000E+00 ( 1.039E-07, 4.595E-10) ( 6.252E-12, 2.766E-14)  1.00E-07
  7.500E-03 1.07208E-14  0.000E+00 ( 1.035E-07, 4.592E-10) ( 6.447E-12, 2.859E-14)  1.00E-07
  7.750E-03 1.06499E-14  0.000E+00 ( 1.032E-07, 4.589E-10) ( 6.640E-12, 2.953E-14)  1.00E-07
  8.000E-03 1.05774E-14  0.000E+00 ( 1.028E-07, 4.586E-10) ( 6.831E-12, 3.046E-14)  1.00E-07
  8.250E-03 1.05034E-14  0.000E+00 ( 1.025E-07, 4.582E-10) ( 7.020E-12, 3.139E-14)  1.00E-07
  8.500E-03 1.04277E-14  0.000E+00 ( 1.021E-07, 4.579E-10) ( 7.206E-12, 3.231E-14)  1.00E-07
  8.750E-03 1.03507E-14  0.000E+00 ( 1.017E-07, 4.575E-10) ( 7.391E-12, 3.324E-14)  1.00E-07
  9.000E-03 1.02722E-14  0.000E+00 ( 1.014E-07, 4.572E-10) ( 7.573E-12, 3.416E-14)  1.00E-07
  9.250E-03 1.01923E-14  0.000E+00 ( 1.010E-07, 4.568E-10) ( 7.753E-12, 3.508E-14)  1.00E-07
  9.500E-03 1.01112E-14  0.000E+00 ( 1.006E-07, 4.564E-10) ( 7.931E-12, 3.600E-14)  1.00E-07
  9.750E-03 1.00289E-14  0.000E+00 ( 1.001E-07, 4.560E-10) ( 8.106E-12, 3.691E-14)  1.00E-07
  1.000E-02 9.94532E-15  0.000E+00 ( 9.973E-08, 4.556E-10) ( 8.280E-12, 3.783E-14)  1.00E-07
  1.250E-02 9.05859E-15  0.000E+00 ( 9.518E-08, 4.511E-10) ( 9.877E-12, 4.682E-14)  1.00E-07
  1.500E-02 8.11787E-15  0.000E+00 ( 9.010E-08, 4.457E-10) ( 1.122E-11, 5.551E-14)  1.00E-07
  1.750E-02 7.17337E-15  0.000E+00 ( 8.469E-08, 4.395E-10) ( 1.231E-11, 6.386E-14)  1.00E-07
  2.000E-02 6.26448E-15  0.000E+00 ( 7.915E-08, 4.326E-10) ( 1.314E-11, 7.184E-14)  1.00E-07
