

  **** Partial wave analysis (DPWAI0) ******************************************


  Kinetic energy = 1.00000E+06 eV

              --------- Spin UP ---------      -------- Spin DOWN --------
      L         Re(phase)      Im(phase)         Re(phase)      Im(phase)
    Angle      DCS       Asymmetry    Direct amplitude       Spin-flip amplitude     Error
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  0.000E+00 2.45010E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 0.000E+00, 0.000E+00)  1.27E-07
  1.000E-04 2.45010E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 9.036E-15, 2.826E-16)  1.27E-07
  1.250E-04 2.45010E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 1.129E-14, 3.532E-16)  1.27E-07
  1.500E-04 2.45010E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 1.355E-14, 4.238E-16)  1.27E-07
  1.750E-04 2.45010E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 1.581E-14, 4.945E-16)  1.27E-07
  2.000E-04 2.45010E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 1.807E-14, 5.651E-16)  1.27E-07
  2.250E-04 2.45010E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 2.033E-14, 6.358E-16)  1.27E-07
  2.500E-04 2.45010E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 2.259E-14, 7.064E-16)  1.27E-07
  2.750E-04 2.45010E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 2.485E-14, 7.771E-16)  1.27E-07
  3.000E-04 2.45009E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 2.711E-14, 8.477E-16)  1.27E-07
  3.250E-04 2.45009E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 2.937E-14, 9.183E-16)  1.27E-07
  3.500E-04 2.45009E-16  0.000E+00 ( 1.565E-08, 4.893E-10) ( 3.162E-14, 9.890E-16)  1.27E-07
