 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   1,   projectile: electron
 #  Kinetic energy = 1.00000E+07 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  1.375E+01  1.43290E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.400E+01  1.48521E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.425E+01  1.53845E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.450E+01  1.59262E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.475E+01  1.64770E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.500E+01  1.70371E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.525E+01  1.76063E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.550E+01  1.81848E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.575E+01  1.87724E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.600E+01  1.93692E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.625E+01  1.99751E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.650E+01  2.05901E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.675E+01  2.12143E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.700E+01  2.18476E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.725E+01  2.24900E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.750E+01  2.31415E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.775E+01  2.38021E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.800E+01  2.44717E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.825E+01  2.51504E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.850E+01  2.58382E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.875E+01  2.65349E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.900E+01  2.72407E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.925E+01  2.79555E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.950E+01  2.86793E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  1.975E+01  2.94120E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.000E+01  3.01537E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.025E+01  3.09043E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
  2.050E+01  3.16639E-02  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
