 #
 # Subroutine MOTTSC. Elastic scattering of electrons and positrons
 #                    by unscreened Coulomb fields
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+07 eV = 3.67493E+05 a.u.
 #
 # Z =  47
 #
 # Differential cross section      MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS       McKinl-Fesh    error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)   (a0**2/sr)
 #-----------------------------------------------------------------------
  7.300E+00  4.05278E-03  6.68145E-21  2.38599E-04  2.40021E-04   8.0E-09
  7.400E+00  4.16442E-03  6.33281E-21  2.26149E-04  2.27476E-04   2.3E-08
  7.500E+00  4.27757E-03  6.00676E-21  2.14505E-04  2.15743E-04   3.2E-08
  7.600E+00  4.39223E-03  5.70155E-21  2.03606E-04  2.04761E-04   3.4E-08
  7.700E+00  4.50840E-03  5.41561E-21  1.93395E-04  1.94472E-04   2.6E-08
  7.800E+00  4.62608E-03  5.14748E-21  1.83820E-04  1.84824E-04   1.3E-08
  7.900E+00  4.74527E-03  4.89586E-21  1.74834E-04  1.75770E-04   7.5E-09
  8.000E+00  4.86597E-03  4.65952E-21  1.66395E-04  1.67266E-04   2.0E-08
  8.100E+00  4.98817E-03  4.43737E-21  1.58461E-04  1.59273E-04   2.7E-08
  8.200E+00  5.11188E-03  4.22839E-21  1.50999E-04  1.51754E-04   2.8E-08
  8.300E+00  5.23711E-03  4.03166E-21  1.43973E-04  1.44676E-04   2.1E-08
  8.400E+00  5.36383E-03  3.84631E-21  1.37354E-04  1.38007E-04   9.8E-09
  8.500E+00  5.49207E-03  3.67157E-21  1.31114E-04  1.31720E-04   7.0E-09
  8.600E+00  5.62181E-03  3.50672E-21  1.25227E-04  1.25789E-04   1.7E-08
  8.700E+00  5.75306E-03  3.35108E-21  1.19669E-04  1.20190E-04   2.3E-08
  8.800E+00  5.88581E-03  3.20404E-21  1.14418E-04  1.14900E-04   2.3E-08
  8.900E+00  6.02007E-03  3.06504E-21  1.09455E-04  1.09900E-04   1.7E-08
  9.000E+00  6.15583E-03  2.93355E-21  1.04759E-04  1.05170E-04   7.8E-09
  9.100E+00  6.29310E-03  2.80910E-21  1.00315E-04  1.00694E-04   6.5E-09
  9.200E+00  6.43187E-03  2.69122E-21  9.61052E-05  9.64537E-05   1.5E-08
  9.300E+00  6.57214E-03  2.57951E-21  9.21160E-05  9.24358E-05   1.9E-08
  9.400E+00  6.71392E-03  2.47359E-21  8.83333E-05  8.86261E-05   1.9E-08
  9.500E+00  6.85720E-03  2.37308E-21  8.47444E-05  8.50116E-05   1.4E-08
  9.600E+00  7.00198E-03  2.27768E-21  8.13373E-05  8.15806E-05   6.3E-09
  9.700E+00  7.14827E-03  2.18706E-21  7.81012E-05  7.83218E-05   6.1E-09
